datetime,author,message,superChat
2025-06-01 17:32:27,Emre Ortaner,abla aman abla,
2025-06-01 17:32:29,Kaan,merhaba abla :grinning_face_with_smiling_eyes:,
2025-06-01 17:32:38,DonnieDarko9154,tanıdığı birine selam verdi ne var bunda,
2025-06-01 17:32:40,Sinan Aydın,abla ünlü olmaya gelmiş,
2025-06-01 17:32:44,Ich bin Karl.,tekirimi sahiplendiriyorum isteyen var mi,
2025-06-01 17:32:50,Sir Graves ,Çok güzel kız ya ,
2025-06-01 17:32:53,Musa Efe,ARKADAŞLAR PS5 mi YOKSA SLİM Mİ,
2025-06-01 17:32:56,İnvaderlar,@Go Kalp kaç tane var hangisi var ,
2025-06-01 17:33:07,Mehmet batu Altunışık,slim,
2025-06-01 17:33:11,Go Kalp,1 tane var sydicate var,
2025-06-01 17:33:29,Eymen Yeşidağ,İzmir içi xbox series s i olan varmı,
2025-06-01 17:33:38,Benjamin Linus,:red_circle: Sohbette müşterilere veya izleyicilere karşı olumsuz ya da saygısız yorumlara kesinlikle izin verilmez. Kurallara uymayanlar uyarılır ya da kalıcı olarak uzaklaştırılır. :folded_hands::prohibited:,
2025-06-01 17:33:40,Serkan Özcan,@Sir Graves yokluk insana 1.50 duba gibi kızı güzel gösterir,
2025-06-01 17:33:42,Yiğit B.,@Eymen Yeşidağ var,
2025-06-01 17:33:46,Go Kalp,ve çizik,
2025-06-01 17:33:50,Remberto,hayır sever birisi varsa bana fifa hediye edebilirmi çok dua ederim,
2025-06-01 17:33:59,Hamza Iris,ohhhhh,
2025-06-01 17:34:05,Saaaa,Mod yokmu,
2025-06-01 17:34:05,some respect,insanları taciz etmeyin ya fikriniz size kalsın güzel veya değil,
2025-06-01 17:34:18,TheRosegarden,gelen müşterilere ayıp etmeyin,
2025-06-01 17:34:21,SparkusYT,Takıları ne kadar güzel,
2025-06-01 17:34:38,Eymen Yeşidağ,Furkan nerdesin,
2025-06-01 17:34:38,Ich bin Karl.,@Remberto ps5 mi kardesim,
2025-06-01 17:34:49,kaan,pişti oldular la,
2025-06-01 17:34:50,Qwerty 123,Lan adamin karisina laf atmaya utanmiyormusunuz,
2025-06-01 17:34:51,Funnyanimal,kadınlar pişti oldu,
2025-06-01 17:34:58,Mervan ,Yakup TV ne zaman geldi,
2025-06-01 17:35:02,Yiğit B.,oki doki kolonya verim,
2025-06-01 17:35:09,Remberto,yok abi pc,
2025-06-01 17:35:21,Hamit Kulat,Hyattaki şanş kadınların gömlekler pişti oldu :grinning_face: ,
2025-06-01 17:35:28,Ich bin Karl.,@Remberto ps5 olsa yardimci olabilirdim,
2025-06-01 17:35:38,Kadir Köse,teyzeler aynı tarz giyinmiş,
2025-06-01 17:35:39,Mervan ,Yakup TV ne zaman geldi,
2025-06-01 17:35:47,İsa Kocaman,Abla pişti oldu,
2025-06-01 17:35:55,HIRSLI PUBG,teyze,
2025-06-01 17:36:01,Umut ,pişti,
2025-06-01 17:36:02,Oğuz Kağan Bülbül,abi sence 1500 TL ps3 iyimi bi orjinal kol 1 pes2017 orjinal,
2025-06-01 17:36:05,Go Kalp,Abla pişti oldunuz,
2025-06-01 17:36:16,Remberto,@Ich bin Karl. yok abi pc epicte indirimde bayramda babanemden harclık olarak alcaktım hacca gitti baya para harcadı almaya içim el vermiyor,
2025-06-01 17:36:20,Hepatits of Minds,Fifa 14 var ,
2025-06-01 17:36:22,DonnieDarko9154,biri yan çizgi gömlek biri düz çizgi nasıl pişti oluyorlar renkleri bile farklı,
2025-06-01 17:36:28,some respect,insanlara yorum yapmayın rencide etmeyin,
2025-06-01 17:36:29,Ich bin Karl.,simulsyonda hta oldu gliba ayni kisiden iki tne vr,TRY 22.00
2025-06-01 17:36:42,Ich bin Karl.,@Remberto kac yasindasin sen nerdesin abim,
2025-06-01 17:36:57,OG,teyzeler diyor ya bide AKMDKSMDKR,
2025-06-01 17:36:58,Carsen Edwards ,Yayını kapatmayacak mı Taner abi,
2025-06-01 17:37:02,sikaf,Ne o wwe mi,
2025-06-01 17:37:07,Umut ,fifa 2006 varmı #HATIRLA,
2025-06-01 17:37:14,Hacılar,soldaki fav,
2025-06-01 17:37:17,Remberto,@Ich bin Karl. 15 yaşındayım abi ankaradayım,
2025-06-01 17:37:46,Ich bin Karl.,@Remberto ea playda bedava fifa,
2025-06-01 17:37:48,Umut ,çok az kişi izlyior,
2025-06-01 17:38:03,Hacılar,penci zurno,
2025-06-01 17:38:03,Yiğit B.,abi sakalları kafaya eksek nası olur ,
2025-06-01 17:38:04,Dogukan Cubuk,Abi yanlis anlamada posetsiz esnaf mi olur,
2025-06-01 17:38:08,Mustafa eren yüksel,Fifa indirimde şuan,
2025-06-01 17:38:10,Mert Dişkaya,ps5 slim satan var mı ankara içi,
2025-06-01 17:38:12,ArsenalAce,abi merhaba paten satıyorum ilan no paylaşsam sıkıntı olur mu,
2025-06-01 17:38:14,Mustafa KAYACI,oki doki peki,
2025-06-01 17:38:22,Remberto,@Ich bin Karl. üyelik istiyormu,
2025-06-01 17:38:39,Benjamin Linus,":red_circle: Ürün paylaşmak isteyenler günde 1 kez ilan verebilir, ancak ilan no, ürün ismi ve fiyat mutlaka yazılmalıdır. İlan no olmadan paylaşımlar kabul edilmez ve silinir. Lütfen kurallara dikkat edelim.",
2025-06-01 17:38:42,Tr Musty,BMW 320d,
2025-06-01 17:38:55,Ich bin Karl.,aylik ucreti var eaplayin ama bissuru oyun var,
2025-06-01 17:38:59,Ich bin Karl.,game pass ultimate alirsan eaplay de dahil,
2025-06-01 17:39:11,Ich bin Karl.,@Tr Musty satilik mi,
2025-06-01 17:39:14,Emre Karakurt,bedava ver knk,
2025-06-01 17:39:14,DonnieDarko9154,@ArsenalAce ben izin verdim verebilirsin,
2025-06-01 17:39:17,Umut ,çalışır ne çizikse biraz daha fiyat düş abi,
2025-06-01 17:39:18,Pxtv1,Assassin Valhalla fiyat kaç,
2025-06-01 17:39:18,Efe Banaz,100,
2025-06-01 17:39:25,Jaguar Desenli Sütyen,ea playe fc 25 geldi mi,
2025-06-01 17:39:49,Ich bin Karl.,@Benjamin Linus mod alimi yok mu yav,
2025-06-01 17:39:52,HIRSLI PUBG,niye aldın o zaman abi,
2025-06-01 17:39:59,Benjamin Linus,nein,
2025-06-01 17:40:01,Onur Kaya,yayın kapanmamışmıydı ya :D,
2025-06-01 17:40:02,Deniz Akat,200e vermis hala dus diyonuz,
2025-06-01 17:40:13,Umut ,benjamin yaş kaç ,
2025-06-01 17:40:18,Ich bin Karl.,@Benjamin Linus genau,
2025-06-01 17:40:21,Mustafa Duman,benjamin motosiklet ekipmanı satıyorum da ilanı paylaşabilir miyim?,
2025-06-01 17:40:21,vasifos,yayını kapatmamısmıydı taner abi,
2025-06-01 17:40:31,Benjamin Linus,fortyone,
2025-06-01 17:40:33,Lorex,10k like vavvvv,
2025-06-01 17:40:35,Bugramo,OKU DOKİİİİİ,
2025-06-01 17:40:42,Serhatiron,@Konsol Oyun abi ben almanyadayim elimde birsuru oyun var sana kac tane getirirsen alabilirsin veya ozel bir istegin var mi seviliyiyorsun,
2025-06-01 17:41:06,Oğulcan Ülger,Selamlar,
2025-06-01 17:41:31,Umut ,suriye,
2025-06-01 17:41:46,Baran Kezman,elimde 0 ayarında ps2 var evin 2. konsoluydu sadece ilk alındığında elektriğe takıldı kırık değil almak isteyen olur mu,
