datetime,author,message,superChat
2025-05-30 14:21:51,Smt-3428,ajan mi geldi kamera donmus,
2025-05-30 14:21:51,Erol Bltcz,ses yok,
2025-05-30 14:21:52,berkay gürbüz,aloooo ses gg abim,
2025-05-30 14:21:53,llpeb3c,yorumlar niye siliniyor,
2025-05-30 14:21:54,Voxynos,ses,
2025-05-30 14:21:59,Burak Aydın,tamam da dukkan adamın ozel alan ıstedıgını yapabılır kanudna yerı yok,
2025-05-30 14:22:00,Benjamin Linus,:red_circle: Lütfen spam yapmaktan kaçının! Aynı mesajı tekrar tekrar yazmak sohbetin düzenini bozuyor. Uymayanlar uyarılır veya sohbetten çıkarılır. Kurallara uyalım! :folded_hands::speech_balloon:,
2025-05-30 14:22:01,Yusuf Kayan,Adam Smith gelmiş,
2025-05-30 14:22:04,PITCHMAN,recep tayyip gelmiş,
2025-05-30 14:22:06,yakup simsek,gg,
2025-05-30 14:22:06,Furkan Sinan sen,ses yooook,
2025-05-30 14:22:08,Emre Can Erdoğan,açıklama gelır sabredinn,
2025-05-30 14:22:10,Muhamet ,satılık PlayStation 5 pro yanında 5 CD çift kol 35 k azda olsa pazarlık var,
2025-05-30 14:22:10,Faruk Kocak,kimsenin sesi görüntüsü izinsiz alınamaz onun için gelen gidene ilk sorduğu şey o,
2025-05-30 14:22:12,Spedyyy,Ses yok,
2025-05-30 14:22:18,Gündoğan Yiğit,Karl marx mı gelmiş,
2025-05-30 14:22:19,Kuzey Yılmaz,Ses neden yok,
2025-05-30 14:22:22,Ccy,Yüzü düştü ,
2025-05-30 14:22:23,Mustafa Şebap,Neden ses yok,
2025-05-30 14:22:25,Emir Kemertaş,SA ABİ,
2025-05-30 14:22:27,KAYA Ilker,abi 5k fazla verdin sanki,
2025-05-30 14:22:28,Uğur,açılsın defterler,
2025-05-30 14:22:31,Luckyhero,kişisel koruma kanunu var ya Burak kafana göre herkesi cekemezsin,
2025-05-30 14:22:32,aemin,hayda,
2025-05-30 14:22:32,AdemCan1,Beyler Devlet Görevlileri geldi.Onlarla konuşuyor.Bu Yüzden sesi kendisi kıstı!,
2025-05-30 14:22:32,MONA PİZZA,yüzü düştü ,
2025-05-30 14:22:33,mmmmmm,aha kolu gözüktü adamın gg,
2025-05-30 14:22:33,Sacid Burhan,Eğitim çok önemli cidden :beaming_face_with_smiling_eyes:,
2025-05-30 14:22:34,Yusuf Kayan,Vladimir Putin düklkanda şu an,
2025-05-30 14:22:41,Ercan Kar,bazı sayfaları yırtıp atsak,
2025-05-30 14:22:48,efe ışık,@Muhamet cd okuyucu varmı ki ekstra ilan numarası alabilirmiyim,
2025-05-30 14:22:48,has hacip,maliyeden geldiler ondan ses yok,
2025-05-30 14:22:51,Kuzey Yılmaz,Ağalar ps5 ilgilenen varsa iletişime geçebiliriz,
2025-05-30 14:22:54,AdemCan1,adamlar izin verdi görüntüyede taner abi o riski almadı,
2025-05-30 14:22:54,Ersin Özkaya,SES,
2025-05-30 14:22:56,Smt-3428,vergi kontrolu,
2025-05-30 14:22:58,SS,William Draxon gelmiş,
2025-05-30 14:22:59,rıfat demir,ses yok ,
2025-05-30 14:23:01,ThorinOakenshieldd,1 SAATTİR SES YOK,
2025-05-30 14:23:02,Tilki,Arkadaki Sibel yazısını anlamadım,
2025-05-30 14:23:03,Utku Atalay Yıldız,eyvahh ciddili sorun var,
2025-05-30 14:23:07,Emre Can Erdoğan,Ankara ps5 gow ragnarok temız cızıksız,
2025-05-30 14:23:07,exob0b,@MONA PİZZA ciddi konuşuyor diye yüzü düşmüş olmuyor dostum :grinning_face: müşteri değil ki gülen yüzle karşılasın,
2025-05-30 14:23:08,Shirone,FBI rutin kontrol,
2025-05-30 14:23:10,Dutch Son,ses uok,
2025-05-30 14:23:10,fatih albayrak,ses,
2025-05-30 14:23:10,Erdem Kocyigit,taner ses yok kardeşim,
2025-05-30 14:23:12,Selahaddin Cevizbas,ses yok,
2025-05-30 14:23:13,Uğur,bu yayın sessiz yayınmış,
2025-05-30 14:23:14,Furkan Karaca,:D,
2025-05-30 14:23:16,Eren Sarı,ses,
2025-05-30 14:23:19,berkay gürbüz,eyvaahh para aklıyoduk bizde,
2025-05-30 14:23:22,aemin,kendisi kapattı sesi,
2025-05-30 14:23:23,orhanizm cemiyeti,"bence vergi borcu yok, denetleme için geldiler. Emniyet Müdürlüğü veya Jandarma da olabilir",
2025-05-30 14:23:23,3dyasin,sesi bilerek kapattı Chat anlamıyonuzmu,
2025-05-30 14:23:24,Mert Yılmaz Şimşek,ses yok,
2025-05-30 14:23:26,Bilge kağan Koç,taner abim sinirlendi haksız ceza yazılıyor beyler dua zinciri başlatalım ,
2025-05-30 14:23:27,Luckyhero,maliyenin ay sonu rutin kontrolü birşey çıkmaz arkadaslar,
2025-05-30 14:23:28,Akın Turan,ciddi konuşuyor yapsana maliyeyede oki dokiiiiii,
2025-05-30 14:23:28,halil güven,abi en heyecanlı yerde sesi kesiyorsun hep,
2025-05-30 14:23:29,SS,ne kadardır böyle yayın,
2025-05-30 14:23:31,Dogus,sesi bilerek kapattı,
2025-05-30 14:23:34,Polat Alemdar,ps4 slim 1tb satan var mı ?,
2025-05-30 14:23:34,Muhammet Mızrak,ses yol,
2025-05-30 14:23:36,Emre Aydoğmuş,adam 14:30 da çıkmam lazım demişti. birisi uyarsın geç kalacak artık :),
