datetime,author,message,superChat
2025-06-05 16:02:42,Adem Gunes,Cd. ye kolanya sikiyor,
2025-06-05 16:02:44,Fatih Karakaş🦁,Selamın aleyküm ,
2025-06-05 16:02:51,Rəsul Allahquliyev,Series S alınırmı i,
2025-06-05 16:02:52,Ramo77,Uncharted 4: A Thief's End 10 tane war elimde alirmisin kral ,
2025-06-05 16:02:53,Rüzgar Güler,abi ps indirimlerini bakman çok eğlenceliydi yine yapar mısın,
2025-06-05 16:02:55,emir Can,Nba2k23 kaç tl ye satarsın ,
2025-06-05 16:02:57,Solostar,furkan o yazıya bu cevap sana fazla biraz insanlık olarak ,
2025-06-05 16:02:59,Lore Peyniri,abi pantolonla silme şu cdleri bee,
2025-06-05 16:03:00,Kadir,5 kardeş gelecek gibi dedin abi jsksks,
2025-06-05 16:03:01,metin tapan,Abi Cd ler e kolanya zararlı değilmi ?,
2025-06-05 16:03:04,stoptrying2begod,vealeykumselam,
2025-06-05 16:03:05,y.emre1905,Kinght ye Kınayt derim ben Nayt demem,
2025-06-05 16:03:05,kano,oo yine loot yapacağız :)),
2025-06-05 16:03:05,Okan Türkmen ,"Abi bir günü sağlam cihaz seçmeye ayıralım, hem gelen müşteri beklememis olur hemde senin işin hızlanır",
2025-06-05 16:03:07,kop,abi dukkanda klıma varmı,
2025-06-05 16:03:09,Baran,selam canlar,
2025-06-05 16:03:10,stace,"Xbox one,kinect ve oyun cdlleri alırmısın abi",
2025-06-05 16:03:11,Yusuf İsa Çakıroğlu,abi kaç mm lens kullanıyorsun söylermisin acaba,
2025-06-05 16:03:13,Berke CAN V1,arkada dishonored var abi,
2025-06-05 16:03:16,Buğramollax,uncharted 4 satan varmı veya the last of us,
2025-06-05 16:03:20,Turkeryoutube,dükkanda klima varmı abi,
2025-06-05 16:03:21,Kebabcek,şu camekana bir yazı ya da led koysan daha iyi olur abi. insanlar anlamıyorlar biraz da sert oluyor bu hareketler,
2025-06-05 16:03:23,kaan,oki dok,
2025-06-05 16:03:22,Adem Gunes,Valla ha kacmis,
2025-06-05 16:03:23,Ege Uğurlu,abi yüzüne sık öyle inanırım su olduğuna,
2025-06-05 16:03:25,oyun portal 71,kolonya sıksan bişey olurmu,
2025-06-05 16:03:26,İsmail Karadağ,hediye yı aç abi (YOĞUN İSTEK),
2025-06-05 16:03:28,♕Baran,elimde çiziksiz fifa 23 ps5 cd var bide cod black ops 3 minik çizik çok minik kaça satmalıyım?,
2025-06-05 16:03:31,Djemsen,abi bloodborne'u kaca satiyon ,
2025-06-05 16:03:33,kafanı sız. ,abi cd yi nasıl takcaz ps ye gösterirmisin,
2025-06-05 16:03:33,modrıx.bs14,valla abi bende cd ıstıyorum ama pahalı gelıyor bana dıjıteldende almıyorum bızım orda asagıda plastasıoncu var 50 tl ye yukluyor fifa 19 yüklettım yenı ps 3 e,
2025-06-05 16:03:37,Rüzgar Güler,abi ps indirimlerini bakman çok eğlenceliydi yine yapar mısın,
2025-06-05 16:03:40,Hasan Akkus,abi sakallar iyi olmuş iyiiiiii,
2025-06-05 16:03:40,kop,abi dukkanda klıma varmı,
2025-06-05 16:03:40,efechan,abi ateist misin,
2025-06-05 16:03:41,Ramazan ŞAHİN,Welcome to Okey - Esnaf Mode On!,
2025-06-05 16:03:42,can,abı sana sapkada yakısır bee bunu dıkkata al,
2025-06-05 16:03:45,Berke CAN V1,arkada dishonored var abi onu deneyebilirsin daha düşük diye hatırlıyorum ,
2025-06-05 16:03:45,Okan Türkmen ,"Abi bir günü sağlam cihaz seçmeye ayıralım, hem gelen müşteri beklememis olur hemde senin işin hızlanır",
2025-06-05 16:03:46,stace,"Xbox one,kinect ve oyun cdlleri alırmısın abi",
2025-06-05 16:03:47,sky,abi hogwarts ne kadar,
2025-06-05 16:03:48,Ramazan Uzunkaya,ABİ YAYINDA OUTLAST OYNAMAYI DÜŞÜNÜYORMUSUN,
2025-06-05 16:03:48,Emir,Abi kardeşime selamlarını iletebilirm adı Samet ,TRY 44.99
2025-06-05 16:03:49,emir Can,Nba2k23 kaç tl ye satarsın abi,
